active_cryptocurrencies,total_cryptocurrencies,active_market_pairs,active_exchanges,total_exchanges,eth_dominance,btc_dominance,eth_dominance_yesterday,btc_dominance_yesterday,defi_volume_24h,defi_volume_24h_reported,defi_market_cap,defi_24h_percentage_change,stablecoin_volume_24h,stablecoin_volume_24h_reported,stablecoin_market_cap,stablecoin_24h_percentage_change,derivatives_volume_24h,derivatives_volume_24h_reported,derivatives_24h_percentage_change,total_crypto_dex_currencies,today_incremental_crypto_number,past_24h_incremental_crypto_number,past_7d_incremental_crypto_number,past_30d_incremental_crypto_number,today_change_percent,last_updated,total_market_cap,total_volume_24h,total_volume_24h_reported,altcoin_volume_24h,altcoin_volume_24h_reported,altcoin_market_cap,total_market_cap_yesterday,total_volume_24h_yesterday,total_market_cap_yesterday_percentage_change,total_volume_24h_yesterday_percentage_change,date
9762,34578,102427,820,10456,9.017628645633,63.232567328605,9.12850406,63.08003996,42200698932.07673,81074383124.65671,86383509255.58,132.407190803079,172451482439.5044,1112151705149.033,229338665282.73032,75.934298885547,1977225207697.5457,1977225207697.5457,48.080474411282,15831831,1,59612,358238,1783157,0.020924257033,2025-05-22T01:42:59.999Z,3454263562098.924,182554237595.39,1143381248873.91,98499172013.52248,648661723899.0146,1270044029487.252,3365680336487.377,104944523684.17,2.631956001620693,73.95308605600616,2025-05-22 01:45:24
9750,34586,102736,820,10458,9.195496540367,62.794257960425,9.01562598,63.2312309,46331324257.16442,87910804508.13524,102023847660.43396,9.786017043906,152807976094.3308,822135429783.2322,230083315901.2096,-11.4682351165,1489527489084.7383,1489527489084.7383,-24.665764765397,15895372,0,65221,361812,1749344,0.010501014144,2025-05-23T01:42:59.999Z,3521656980565.2803,162619425466.6,844193443059.73,94846052605.33902,531710723945.2199,1310258611707.7866,3453257305021.0303,183116347824.85,1.980729192834744,-11.193387483817247,2025-05-23 01:45:23
9757,34595,103073,820,10461,9.019477509917,63.109769135893,9.2096839,62.7890435,44428759711.51102,93037184084.73918,95406914327.53471,1.860808307394,161818565319.23975,952887735385.0492,230914073796.7339,5.257578699875,1706594527212.0728,1706594527212.0728,14.543966689819,15962521,0,64718,371993,1719343,0.025835926639,2025-05-24T01:39:59.999Z,3391319803697.564,170518024490.55,976993492366.23,103270234249.94267,628523028854.5675,1251065704924.2012,3524286091013.687,161400546078.36,-3.772857364081872,5.648976186092611,2025-05-24 01:41:51
9751,34595,103085,820,10462,8.918671588742,63.304129043505,9.01457864,63.10180827,35296930589.85312,65410845953.71762,95353671667.60164,-20.429338877159,91847066916.30006,482540127312.2002,230996339731.1157,-43.092346930379,990969350994.8116,990969350994.8116,-41.816079678078,16025294,0,63145,370338,1700257,0.023568303578,2025-05-25T01:51:59.999Z,3383319870919.824,96866380000.89,495195192342.69,50868743512.80163,282092514264.70605,1241538693878.191,3386301695853.783,170418496058.41,-0.0880555013042823,-43.15970259021088,2025-05-25 01:53:43
9750,34596,103112,820,10462,8.991745899812,63.277118712311,8.9231029,63.28956639,34140541465.775177,66549193631.99477,98992909878.7326,-3.547508038724,95539033219.36624,518497848246.0957,231034954396.6964,4.702271221128,1020549353793.568,1020549353793.568,2.957989990957,16078879,0,54091,368573,1675941,0.020353819299,2025-05-26T01:46:59.999Z,3445289157996.8267,100740421999.25,532684442595.62,55373529748.66901,318995337680.9403,1265209447508.7795,3384093101483.275,95954520266.04,1.808344353372803,4.987677203680235,2025-05-26 01:49:02
9759,34606,103141,820,10463,8.980902555684,63.427941888123,8.9939924,63.28217042,37413510880.69604,68993893461.17767,95089680497.58646,9.767666198047,98960115849.95651,523198393298.448,230863699784.71884,3.767144455178,1007678572774.3602,1007678572774.3602,-1.078143926547,16135745,0,57105,366917,1668777,0.018806510573,2025-05-27T01:42:59.999Z,3394454061071.436,104201351401.58,536790388948.59,57589608154.230736,316719838719.19464,1241421711796.0227,3445448705796.312,100534014377.57,-1.4800581601777196,3.647856943458749,2025-05-27 01:44:53
9783,34627,103161,820,10468,9.285061902689,62.965981651203,8.98499251,63.43543791,41269413818.66506,83854723365.14906,98911681074.45705,10.276674212248,122913751508.13512,698827699129.0408,230835332465.1128,24.049173038761,1258810548434.1252,1258810548434.1252,24.878703400123,16196326,0,60918,367907,1674627,0.016839987207,2025-05-28T01:44:59.999Z,3437788084937.5347,129754089638.18,716220251477.22,74278926428.85051,442472829459.8677,1273151070168.5383,3394148046061.632,104739164582.54,1.2857435292647352,23.88306719395964,2025-05-28 01:46:34
9770,34645,102987,820,10472,9.541723787591,62.715503987248,9.2850619,62.96598165,40604454593.24487,75679564070.9705,98850570389.74371,-1.611264042523,114665796345.09068,590743018975.8307,230666335714.3149,-6.71035995716,1116256882438.0532,1116256882438.0532,-11.324473422422,16247990,0,51703,354374,1667109,0.016663298509,2025-05-29T01:43:59.999Z,3425321936570.718,120770055567.24,605473181921.83,70892391959.76056,392203293731.79504,1277114020864.6436,3437788084937.5347,129754089638.18,-0.3626211988294585,-6.923892800598438,2025-05-29 01:46:20
9765,34662,103115,821,10476,9.440336293568,63.092245337929,9.54172379,62.71550399,41803118120.836105,85342759259.79692,92919178428.34406,2.952049324634,134390676543.47942,748530786425.537,230742415884.676,17.202060969451,1365272724141.9604,1365272724141.9604,22.308112552016,16297038,41,48865,338814,1654550,0.018411642344,2025-05-30T01:42:59.999Z,3345336745465.1,184703761261.71,767536401009.15,83599711767.14404,484196860329.5493,1229870784145.6018,3425321936570.718,120770055567.24,-2.3351145552670403,52.938375654612685,2025-05-30 01:44:15
9770,34666,103615,822,10481,9.291982825683,63.686674972563,9.44033629,63.09224534,42045830544.56955,85068683485.7864,86866703785.1643,0.580608420242,138203785905.01996,732326130193.2748,230847909602.21893,2.837331770041,1331285177528.0757,1331285177528.0757,-2.489432771408,16347567,0,51236,326381,1644679,0.015490942662,2025-05-31T01:41:59.999Z,3240946642312.151,146087186588.48,750274925496.22,89524088442.86981,496195690065.03625,1176895488188.616,3345336745465.1,184703761261.71,-3.120466221956846,-20.90730281259053,2025-05-31 01:43:44
